User's manual r01uh0980ej0120-rl78g16; Version 1.00; March 13, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
PPR07,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR08,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR09,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CMPPR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CMPPR01,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSUWRPR0,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSURDPR0,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSUFNPR0,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PR02L,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
PR12,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
PPR17,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR18,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR19,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CMPPR10,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CMPPR11,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSUWRPR1,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSURDPR1,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CTSUFNPR1,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PR12L,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
IF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
WDTIIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF2,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF3,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF4,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF5,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CSIIF00,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
STIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IICIF00,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IF0L,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
IF0H,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
SRIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
SREIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF01H,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF00,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF01,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
STIF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CSIIF11,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
SRIF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IICIF11,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
SREIF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
CSIIF20,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
STIF2,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IICIF20,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
SRIF2,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
SREIF2,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF03H,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IICAIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF02,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF03,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
ADIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IF1L,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
IF1H,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
RTCIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
RTITIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
ITIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF04,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF05,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF06,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
TMIF07,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF6,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
MK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
WDTIMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK2,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK3,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK4,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK5,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CSIMK00,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
IICMK00,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
STMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
MK0L,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
MK0H,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
SRMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
SREMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK01H,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK00,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK01,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
STMK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
SRMK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CSIMK11,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
IICMK11,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
SREMK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
MK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
CSIMK20,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
STMK2,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
IICMK20,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
SRMK2,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
SREMK2,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK03H,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
IICAMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK02,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK03,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
ADMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
MK1L,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
MK1H,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
RTCMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
RTITMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
ITMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK04,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK05,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK06,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
TMMK07,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK6,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
WDTIPR0,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR01,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR02,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR03,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR04,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PPR05,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
IICPR000,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
STPR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
CSIPR000,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
PR00L,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
PR00H,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
SRPR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
SREPR00,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
TMPR001H,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
TMPR000,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
TMPR001,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,1,,XXPR1X
